ticker,earnings_date,spectral_entropy,dominant_frequency,dominant_power,cumulative_abnormal_return,day1_abnormal_return,pre_window_size,post_window_size,lm_polarity,lm_subjectivity
MSFT,2022-07-26,2.238910816301898,0.1,0.24909896874310622,0.03378001974539212,-0.015237701362209055,30,5,-0.0749999996875,0.0573613766593304
MSFT,2022-04-26,2.288432000598275,0.3,0.20830500855274572,0.046559505536160166,-0.00873290259480328,30,5,0.1481481475994513,0.0624855357411512
MSFT,2022-01-25,2.550864026068334,0.4666666666666667,0.12680125299693457,0.025483389114631758,-0.01466445556592751,30,5,0.2627118632935938,0.0550887021346664
MSFT,2021-10-26,2.427820653265405,0.2,0.17999494759598986,0.05685183079451589,0.005505405952611769,30,5,0.2320675095693354,0.0570534424513593
MSFT,2021-07-27,2.3373043719368307,0.0,0.28535010009503214,-0.0069343226210400195,-0.0041533703679251625,30,5,0.2301587292454018,0.0633802816742001
MSFT,2021-04-27,2.427655672279466,0.23333333333333334,0.2202007123286411,-0.039163891166141135,0.0018201905858739923,30,5,0.2471482880336567,0.0636649721462926
MSFT,2021-01-26,2.418923892250598,0.26666666666666666,0.1843310771166372,0.06460292729814382,0.013687377057752219,30,5,0.3636363617998163,0.0587537091813787
GOOGL,2023-02-02,2.3347771718354187,0.36666666666666664,0.22185822420999404,-0.01024538750094025,0.055808166348586305,30,5,0.3877551007219214,0.0813278008073782
GOOGL,2022-10-25,2.4933055366093724,0.3,0.1647381265838412,-0.10054040756598287,0.0030954077167099706,30,5,0.311999998752,0.0648845055632274
GOOGL,2022-07-26,2.3388317206104396,0.1,0.22613598950199834,0.028424355435178468,-0.01153179402889907,30,5,0.2946428558274872,0.0615384615215553
GOOGL,2022-04-26,2.2005777924612224,0.3,0.22692087337931852,-0.020892985986964957,-0.0072194260504223305,30,5,0.2067039094597547,0.0717434869451929
GOOGL,2022-02-01,2.4847354266578154,0.16666666666666666,0.1589894680057234,0.0343063425443444,0.010416119702862721,30,5,0.447272725646281,0.067418484906247
GOOGL,2021-10-26,2.4424163563028753,0.13333333333333333,0.20848076706860516,0.03326749681178904,0.012552789173583025,30,5,0.3243243228634039,0.0579785844716692
GOOGL,2021-07-27,2.355778459314765,0.13333333333333333,0.17919103835074093,0.013903100398476904,-0.011488878642631956,30,5,0.4798206256510285,0.061314269985891
GOOGL,2021-04-27,2.257453947285243,0.5,0.24018582154038556,0.012837264667769637,-0.00802201004388253,30,5,0.3813559305874748,0.070008899415601
GOOGL,2021-02-02,2.285349451104421,0.26666666666666666,0.19799948282551283,0.059085708723183715,-0.0003744462305889755,30,5,0.3999999982608695,0.0639066407157803
GOOGL,2020-10-29,2.100271004302091,0.43333333333333335,0.3316872883351948,0.09421861863681058,0.01993231485152132,30,5,0.373913041852552,0.07424144607029
GOOGL,2020-07-30,2.3861366101158055,0.5,0.19645160344163964,-0.05086185675786121,0.013280709013715296,30,5,0.3164556948672755,0.065289256180361
AMZN,2023-02-02,2.48337883546189,0.36666666666666664,0.2062058481313017,-0.04935253534199932,0.05675131920262649,30,5,-0.0409356722752299,0.0563798219398681
AMZN,2022-10-27,2.3531660210587004,0.2,0.17274361035955615,-0.2086691961403729,-0.03613073107500269,30,5,0.0931677012846726,0.0723270439926653
AMZN,2022-07-28,2.4633611313609625,0.1,0.17898066038112848,0.10977421253797189,-0.0016934536581872002,30,5,0.187165774400183,0.0734197094332863
AMZN,2022-04-28,2.297964060935324,0.26666666666666666,0.21914373423134573,-0.12061205073627773,0.020538561271349214,30,5,-0.183098590259869,0.0594390958311263
AMZN,2022-02-03,2.4232697492062587,0.06666666666666667,0.20198026320517537,0.06745480114135409,-0.05756288951147236,30,5,0.2315270924555315,0.0726037195734607
AMZN,2021-10-28,2.2604770076684373,0.13333333333333333,0.2611197511833593,-0.02597583301062314,0.006212772504171217,30,5,0.0222222220987654,0.0615174299174581
AMZN,2021-07-29,2.324622021276252,0.06666666666666667,0.20794877121502114,-0.079294349515068,-0.012548023209536695,30,5,0.0649350645134086,0.0599455040638592
AMZN,2021-04-29,2.3391465980214825,0.5,0.234551619110918,-0.051919190121124836,-0.0026554214258735914,30,5,0.30107526719852,0.0795551753295315
AMZN,2021-02-02,2.276733772033393,0.26666666666666666,0.24859294746455407,-0.04323581528390065,-0.002998421975725845,30,5,0.2592592576588934,0.0599777859829775
AMZN,2020-07-30,2.4671069561216874,0.5,0.22586963896162954,0.03372250796957024,0.009605005818932612,30,5,0.0133333332444444,0.0575815738742489
META,2022-07-27,2.494176097068577,0.3333333333333333,0.16584479277983322,-0.036474070652502896,0.03784287728648522,30,5,0.1385542164501379,0.0758510395074592
